,,,,,,,,
,"Source: Labour Bureau, Ministry of Labour, GoI",,,,,,,
,,,,,,,,
,CPI for Industrial Worker ,,,,,,,
,,,,,,,,
,,,,,,,,
,Base Year: CPI-2001,,,,,,,
,,,,,,,,
,Month,GENERAL INDEX,FOOD GROUP,"PAN. SUPARI, TOBACCO & INTOXICANTS",FUEL & LIGHT,HOUSING,"CLOTHING, BEDDING & FOOTWEAR",MISCELLANEOUS GROUP
,08/31/2020,338,352,408,299,465,230,260
,07/31/2020,336,350,406,299,465,229,260
,06/30/2020,332,346,404,297,450,229,257
,05/31/2020,330,342,401,295,450,229,256
,04/30/2020,329,341,399,297,450,229,256
,03/31/2020,326,336,398,295,450,229,256
,02/29/2020,328,338,398,293,450,229,257
,01/31/2020,330,344,397,292,450,228,257
,12/31/2019,330,349,396,291,434,228,257
,11/30/2019,328,345,396,289,434,227,256
,10/31/2019,325,341,393,288,434,227,255
,09/30/2019,322,334,392,286,434,227,255
,08/31/2019,320,330,391,282,434,226,254
,07/31/2019,319,329,390,277,434,225,253
,06/30/2019,316,328,389,277,421,225,252
,05/31/2019,314,323,387,277,421,224,252
,04/30/2019,312,320,386,276,421,224,251
,03/31/2019,309,315,384,274,421,223,250
,02/28/2019,307,312,384,274,421,223,250
,01/31/2019,307,311,383,273,421,222,249
,12/31/2018,301,311,380,274,387,222,248
,11/30/2018,302,314,379,274,387,221,247
,10/31/2018,302,314,379,273,387,221,247
,09/30/2018,301,312,379,272,387,221,246
,08/31/2018,301,314,377,270,387,220,244
,07/31/2018,301,314,376,270,387,221,243
,06/30/2018,291,311,375,268,334,220,243
,05/31/2018,289,307,375,265,334,220,241
,04/30/2018,288,305,373,267,334,220,241
,03/31/2018,287,303,371,266,334,219,240
,02/28/2018,287,304,368,267,334,219,240
,01/31/2018,288,308,366,265,334,217,238
,12/31/2017,286,314,364,264,307,216,236
,11/30/2017,288,319,362,262,307,215,236
,10/31/2017,287,317,360,260,307,214,235
,09/30/2017,285,312,357,260,307,214,235
,08/31/2017,285,315,350,258,307,213,234
,07/31/2017,285,315,347,258,307,212,232
,06/30/2017,280,308,344,254,303,211,232
,05/31/2017,278,302,341,254,303,210,231
,04/30/2017,277,301,339,254,303,210,230
,03/31/2017,275,298,337,252,303,208,230
,02/28/2017,274,297,336,252,303,208,229
,01/31/2017,274,298,333,251,303,207,229
,12/31/2016,275,301,329,250,298,206,228
,11/30/2016,277,307,329,250,298,206,226
,10/31/2016,278,310,327,247,298,205,226
,09/30/2016,277,308,327,248,298,206,225
,08/31/2016,278,310,325,248,298,205,224
,07/31/2016,280,316,321,246,298,205,224
,06/30/2016,277,312,319,246,293,204,223
,05/31/2016,275,307,319,249,293,203,221
,04/30/2016,271,299,316,250,293,203,221
,03/31/2016,268,293,316,252,293,201,220
,02/29/2016,267,292,316,252,293,200,219
,01/31/2016,269.26,297.18,312.89,251.99,292.51,198.58,219.02
,12/31/2015,268.82,299.04,310.66,251.53,285.23,198.97,218.45
,11/30/2015,269.66,301.98,307.38,250.65,285.23,197.76,217.11
,10/31/2015,269,301,305,250,285,197,216
,09/30/2015,266,296,302.79,249,285,197,216
,08/31/2015,264,292.09,301.96,247.74,285.23,196.25,215.41
,07/31/2015,263,288.69,299.37,246.55,285.23,196.26,215.5
,06/30/2015,261,287.82,297.23,244.12,276.52,196.12,215.43
,05/31/2015,258,282.73,295.63,244.92,276.52,195.96,214.29
,04/30/2015,256,278.4,293.15,244.17,276.52,195.4,212.49
,03/31/2015,254,276,290,243,277,194,212
,02/28/2015,253,274.57,287.49,243.34,276.52,193.14,210.54
,01/31/2015,254,276.01,285.52,244.65,276.52,192.82,210.54
,12/31/2014,252.53,277.22,283.42,243.67,267.6,191.77,210.17
,11/30/2014,253.08,279.58,280.65,242.39,267.6,191.3,208.62
,10/31/2014,252.75,279.61,278.88,241.55,267.6,190.12,207.9
,09/30/2014,252.59,280.01,277.07,240.65,267.6,190.49,206.71
,08/31/2014,253,282.27,273.01,238.92,267.6,189.71,206.21
,07/31/2014,252,280.04,267.47,238.56,267.6,189.43,205.2
,06/30/2014,246.03,270.46,265.11,239.21,260.47,188.12,204.45
,05/31/2014,244.16,267,262.88,238.75,260.47,187.51,202.82
,04/30/2014,242.07,263.92,259.62,236.46,260.47,186.48,202.18
,03/31/2014,239.18,258.45,256.65,235.52,260.47,185.84,201.34
,02/28/2014,237.9,256.31,255.53,235.49,260.47,185.08,200.49
,01/31/2014,237.48,256.25,253.87,236.46,260.47,183.69,199.04
,12/31/2013,238.85,262.26,251.59,233.77,254.78,182.58,198
,11/30/2013,243.31,273.01,250.58,232.37,254.78,181.93,196.51
,10/31/2013,241.02,268.19,250.36,232.57,254.78,181.03,196.46
,09/30/2013,238.2441,262.7006,249.6355,230.0488,254.7765,181.0808,196.1769
,08/31/2013,237.3245,262.3794,248.9549,226.3956,254.7765,179.8918,194.2802
,07/31/2013,235.15,258.96,246.39,225.99,254.78,179.38,192.22
,06/30/2013,231,254.65,245.58,223.94,246.13,178.89,191.43
,05/31/2013,227.97,248.2,242.1,222.85,246.13,178.26,190.01
,04/30/2013,226.31,244.64,239.69,222.24,246.13,176.89,190.72
,03/31/2013,224,240.17,234.92,220.32,246.13,176.09,190.45
,02/28/2013,223,238.4,232.88,220.31,246.13,175.12,189.34
,01/31/2013,220.79,235.38,230.17,218.55,246.13,174,188.17
,12/31/2012,219,234.78,227.32,218.69,237.73,172.77,186.79
